inmobiliaria,precio canon,administracion,zona,ciudad,habitaciones,baños,metros_cuadrados,descripcion
BIENCO SAS,1850000.0,0.0,,Bogotá,1,1,22.0,"Apartaestudio En Arriendo En Las Nieves, Bogotá Cod. 123077 BIENCO ARRIENDA APARTAESTUDIO AMOBLADO MONOAMBIENTE EN EL CENTRO DE LA CIUDAD en 2 piso con ascensor, CONSTA DE: 1 habitaciones con closet amplio y cama doble, TV, 1 baño dotado con división en vidrio, sala comedor de cuatro puestos, cocina integral con gavetas espaciosas y la estufa eléctrica, mini nevera y horno microondas, zona de ropas con lavadero y espacio para lavadora, cuenta con chapa inteligente. Adicional No se paga energía por el momento porque no hay contador. Zonas comunes; zona BBQ, coworking, zona lavandería Y PARQUEADERO COMUNITARIO por disponibilidad Vid Parking. Vías de acceso: Av. caracas, cra. 10, av ciudad de lima, av el dorado. cuenta con excelente ubicación y zonas centrales de la ciudad incluyendo corredor universitario. Esta propiedad ofrece un espacio generoso y funcional para vivir, trabajar y relajarse marca la diferencia en el centro de la ciudad con espacios modernos. ¡No te pierdas la oportunidad de hacer de este apartaestudio tu hogar!"
INMOBILIARIA SALGUERO,2200000.0,0.0,,Bogotá,1,1,40.0,"Apartaestudio En Arriendo En Usatama, Bogotá Descubra este encantador apartamento en un cuarto piso, accesible cómodamente mediante ascensor. Este hogar cuenta con una acogedora habitación, una luminosa sala comedor que se extiende hacia un balcón privado, ideal para disfrutar de momentos de relax. La cocina integral, moderna y funcional, se complementa con una práctica zona de ropas. Dispone de un baño completo y un parqueadero cubierto, añadiendo comodidad y seguridad. Los pisos de madera laminada aportan calidez y elegancia a cada espacio, realzados por una excelente iluminación natural que inunda todo el apartamento. Ubicado estratégicamente, este inmueble ofrece fácil acceso a centros comerciales, colegios y universidades de prestigio, así como a excelentes vías de acceso que facilitan la movilidad. El valor del canon de arrendamiento incluye la administración, simplificando su experiencia. Este apartamento es la opción perfecta para quienes buscan confort, estilo y una ubicación privilegiada."
BIENCO SAS,1600000.0,0.0,Zona centro,Bogotá,2,1,35.0,"Apartamento En Arriendo En Paloquemao, Bogotá Cod. 124100 BIENCO ARRIENDA APATRAMENTO PARA ESTRENAR EN URBANA 30 PISO 11 CON ASCENSOR, CONSTA DE: 2 Habitaciones amplias con closet, 1 baños, cocina integral dotada con extractor, sala comedor amplia con vista exterior, buena iluminación natural y ventilación, zona de lavado y extractor. Zonas comunes: en proceso. Piscina, Gym, coworking, BBQ, cafetería, seguridad 24 7. Loft, parqueadero comunal, Parqueadero visitante. Vías de acceso: sobre vía principal NQS, Av. calle 13, Av. calle 22. ¡No te pierdas la oportunidad de vivir este hermoso apartamento!"
Aurora Servicios Inmobiliarios,2200000.0,0.0,,Bogotá,1,1,28.0,"Apartaestudio En Arriendo En Las Aguas, Bogotá Es un apartaestudio amoblado en arriendo por 2.2 millones, con administración e internet incluidos. Tiene 28 m² y cuenta con: Sala-comedor Cocina integral 1 baño Parqueadero solo para visitantes (no tiene depósito) El edificio ofrece varias comodidades: Terrazas panorámicas con vista increíble Zona de juegos para relajarse Zona de trabajo remoto, ideal para home office Vigilancia 24/7 para mayor seguridad Ubicado en una excelente zona, con todo lo que necesitas cerca. ¡Ideal para alguien que busca comodidad y estilo en un solo lugar!"
Houm,1600000.0,0.0,Zona centro,Bogotá,2,2,55.0,"Apartamento En Arriendo En Olaya, Bogotá [ARR] ID HOUM: 165305 Entérate de todos los beneficios al arrendar con nosotros: • Asistencia e intermediación con el propietario • Firma tu contrato online • Arrienda sin burocracia, sin papeleos ni notarías Departamento en arriendo, ubicado en el barrio Quiroga Central, con una superficie construida de 55.00 m² y superficie total de 55.00 m². Sus principales características son: • No amoblado • 2 dormitorios • 2 baños • No Admite mascotas • 1 parqueadero • Año de construcción: 1991 Si arriendas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Requisitos para arrendar con nosotros: • Arrienda sin codeudor*, fácil, rápido y seguro • Demuestra un ingreso mensual neto de al menos 2.5 veces el valor del arriendo (los ingresos mensuales se pueden complementar por las personas que vivirán en este inmueble) • Completa tu información básica y mándanos tus extractos bancarios o documentos que demuestren tus ingresos • No debes tener reportes negativos en centrales de crédito IMPORTANTE: • Te invitamos a agendar una visita a esta propiedad • Si tienes alguna duda por favor puedes solicitar más información desde los portales como también contactarte directamente con nosotros Más que una inmobiliaria, somos Houm. *Aplican T&C"
Quantum Inmobiliaria,1900000.0,0.0,,Bogotá,1,1,25.0,"Apartaestudio En Arriendo En Centro Internacional, Bogotá Si Arriendo hermoso Aptartaestudio en el sector de Centro Internacional. Consta de zona social, alcoba, cocina, baño y zona de lavado, chapa de ingreso principal electrónica. El edificio cuenta con pista de atletismo, gimnasio, zona de trabajo. Canon de arrendamiento con administración $1.900.000. En Quantum Inmobiliaria encontrarás un aliado en el proceso de arrendamiento, nuestros procesos documentales son totalmente digitales y ágiles, permítanos asesorarle. ***"
Arval Bienes Raices SAS,1200000.0,118800.0,Zona centro,Bogotá,1,1,35.0,"Apartamento En Arriendo En La Macarena, Bogotá APARTAMENTO INDEPENDIENTE MAGNIFICA LUZ NATURAL Y VENTILACION, CONSTA DE SALA COMEDOR CON COCINETA SIN ESTUFA, ALCOBA CON CLOSET, BAÑO CON TODOS LOS SERVICIOS DUCHA ELECTRICA, ZONA DE LAVANDERIA, INSTALACION PARA LAVADORA."
Coninsa Inmobiliaria,1600000.0,0.0,Zona centro,Bogotá,1,1,21.0,"Apartamento En Arriendo En Bogotá Apartamento Arriendo 21 mts Cundinamarca BOGOTÁ LAS NIEVES Codigo Coninsa:76041 Inmueble en arriendo ubicado en el barrio Las Nieves, ideal para estudiantes, gracias a su excelente ubicación a pocos pasos de la estación Universidades de TransMilenio, con fácil acceso al transporte público; se encuentra cerca de importantes universidades como el Externado de Colombia, Universidad de los Andes y Tadeo Lozano, así como del centro de Bogotá, zonas culturales y turísticas como Monserrate, bibliotecas, comercios y servicios, lo que lo convierte en una opción práctica, cómoda y estratégica para vivir y estudiar en el corazón de la ciudad"
Y&M Brokers,8950000.0,0.0,,Bogotá,14,5,328.0,"Casa En Arriendo En Teusaquillo, Bogotá Descubra una propiedad excepcional con un legado arquitectónico, idealmente diseñada Esta joya de conservación arquitectónica ofrece 14 amplios y versátiles espacios, perfectos para adaptarse a diversas configuraciones de trabajo, desde oficinas privadas hasta salas de reuniones colaborativas. Esta propiedad cuenta con 5 baños completos, garantizando comodidad y eficiencia para su equipo y visitantes. Una oportunidad única para establecer su negocio en un inmueble con carácter y distinción."
,17500000.0,5500000.0,Zona centro,Bogotá,3,3,289.0,"Apartamento En Arriendo En La Cabrera, Bogotá Descubre la elegancia y comodidad en este exclusivo apartamento de 3 habitaciones y 3 baños, con 289.34 metros cuadrados de espacio para disfrutar. Con una distribución en dos niveles, cuenta con depósito, balcón, terraza y vista exterior que te conectan con la naturaleza. Los acabados de alta calidad incluyen piso laminado, de madera y de alta resistencia. La cocina tipo Americano está equipada con instalación de gas, cocina a gas y eléctrica. Además, disfruta de la iluminación natural y la seguridad que ofrece la puerta de seguridad y el sensor de movimiento. En un conjunto cerrado con ascensor, portería 24/7, salón comunal, gimnasio y vigilancia privada. Ubicado en una zona residencial con acceso a supermercados, colegios, transporte público y más. ¡Vive la experiencia de lujo y confort que mereces!"
